name,title,url,date,keywords,content
www.ndtv.com,"Coronavirus Live Updates: COVID-19 Cases Cross 26,000-Mark",https://www.ndtv.com/india-news/coronavirus-india-live-news-updates-new-covid-19-cases-on-26-april-2020-24942-2218360,26/04/2020,"Coronavirus,Covid-19,Coronavirus Live Updates,Coronavirus Live News Updates,Covid 19 live news updates,Covid 19 updates","cases . 26,496 updates covid-19 india : country sunday increased"
www.ndtv.com,Watch: RCB Director Mike Hesson Mesmerised By 6-Year-Old Indian Girl's Batting Skills,https://sports.ndtv.com/cricket/rcb-director-mike-hesson-mesmerised-by-6-year-old-indian-girls-solid-batting-skills-watch-2218516,2020-04-26,Cricket,"nationwide sessions lockdown gained former seen shikha director entire due needs ) trainings confined new junk start in smash media brothers tv ! lats ease tweeted absolute left sublime impressed leaving zealand practicing twitter position playing coronavirus if behind wonder wrote '' like solid replied coached knock swara rcb skills early semi-final you 2015 gone pari pune do match-winning gurav batsman remembered site vaughan praised could world no indies indoors taking champions coach pandey complete fans batting 's lessons michael praise remember cricket fast shai hone west took hesson stint population . head viral all-rounder young `` grunter sharma consequence current hope swaragurav screen mighty elliot africa mind commented woman houses another sound showcasing bowler shared social south two a # week attention footwork : the awe cup kids never shots indian choice national ( , six-year-old firm training high fact around girl micro-blogging misses similar even technique went defense team received ball clip england hitting video captain n't incredible"
www.ndtv.com,"More Than 100 COVID-19 Positive Cops In Maharashtra, 2 Deaths In Mumbai",https://www.ndtv.com/india-news/coronavirus-cases-india-more-than-100-covid-19-positive-cops-in-maharashtra-2-deaths-in-mumbai-2218515,2020-04-26,"coronavirus,COVID-19,coronavirus pandemic","cases reported . more 5,000 mumbai coronavirus"
www.ndtv.com,"Top Bengal Medical Officer Dies Of Coronavirus, Mamata Banerjee Tweets Tribute",https://www.ndtv.com/india-news/coronavirus-pandemic-senior-doctor-dies-of-covid19-in-west-bengals-kolkata-2218514,2020-04-26,"Kolkata doctor,coronavirus Bengal,COVID-19,coronavirus,Coronavirus   Death in india,COVID-19 And Coronavirus Vaccine,Coronavirus   lockdown,Coronavirus   Update,Coronavirus  cases",kolakta . biplab died kanti dasgupta covid-19 dr morning
www.ndtv.com,2020 Mahindra Scorpio BS6 Bookings Officially Open Online,https://www.carandbike.com/news/2020-mahindra-scorpio-bs6-bookings-officially-open-online-2218471,2020-04-26,"Mahindra,Mahinda & Mahindra,2020 Mahindra Scorpio,BS6 Mahindra Scorpio,BS6 Mahindra Scorpio Bookings",2020 get variants scorpio infotainment 4 loses 7-inch at awd bs6 s9 touchscreen s11 's trims system mahindra comes
www.ndtv.com,"DHFL Promoters Kapil Wadhawan, Brother Dheeraj In CBI Custody: Maharashtra minister",https://www.ndtv.com/india-news/dhfl-promoters-kapil-wadhawan-brother-dheeraj-in-cbi-custody-maharashtra-minister-2218511,2020-04-26,"Anil Deshmukh,Wadhawan,DHFL",act financial irregularities laundering . wadhawan accused money brothers the
www.ndtv.com,"After Cheteshwar Pujara Shares What He Misses Most In Lockdown, Shikhar Dhawan Trolls Him",https://sports.ndtv.com/cricket/after-cheteshwar-pujara-shares-what-he-misses-most-in-lockdown-shikhar-dhawan-trolls-him-2218508,2020-04-26,"Cheteshwar Arvind Pujara,Shikhar Dhawan,Murali Vijay Krishna,Umeshkumar Tilak Yadav,Cricket","right nationwide photograph lockdown amount supposed hi wow due title time long ) picture deal cancelled shikhar matches basis poking dressing scored sachi tha banter miss left - really laughing but competition captioned practicing know withdrawal coronavirus beat lead cheteshwar emoji '' teammates knock opener humein helped raha symptoms india fun batsman enforced yes play joined feel championship final murali left-handed remind teammate missing incredible batting 's umesh sports cricket claimed i bengal halt dhawan pujara starting . pata may crease gloucestershire characteristically `` stints yadav win outing county last brought life innings match pandemic six commented ranji suspended nets 66 room a professional the field first saurashtra we quick ( , trophy patient first-class thing share ? hai.wah patience vijay england slowly nahi 28 took instagram n't known"
www.ndtv.com,"""I'm A Lucky Mommy"": Sunny Leone Shares Adorable Video With Daughter Nisha",https://www.ndtv.com/entertainment/im-a-lucky-mommy-sunny-leone-shares-adorable-video-with-daughter-nisha-2218506,2020-04-26,"Sunny Leone,nisha",) photo . leone sunny ( courtesy shared
www.ndtv.com,"CMA Course Fee Waived For Students Of Kashmir, North Eastern States",https://www.ndtv.com/education/icmai-cma-course-fee-waived-for-students-of-kashmir-north-eastern-states-2218505,2020-04-26,"ICMAI,course fee,CMA course",waiver continue . shall fees scheme regard the institute notification
www.ndtv.com,"Review Decision Of Freezing Dearness Allowance (DA), Dearness Relief (DR): Teachers' Body To Centre",https://www.ndtv.com/education/review-decision-of-freezing-dearness-allowance-da-dearness-relief-dr-teachers-body-to-centre-2218504,2020-04-26,"Dearness Allowance (DA),Dearness Relief (DR),Dearness allowance,Dearness Relief,DA Hike,DR Hike,DA,FEDCUTA,coronavirus,covid-19",") relief : body freezing da decision teachers dearness centre review ' ( , dr allowance"
www.ndtv.com,"80% COVID-19 Patients Asymptomatic In Maharashtra, Says Uddhav Thackeray",https://www.ndtv.com/india-news/coronavirus-maharashtra-uddhav-thackeray-says-80-covid-19-patients-asymptomatic-in-maharashtra-2218502,2020-04-26,"Coronavirus Pandemic,Uddhav Thackeray,Maharashtra","cases minister game going lockdown cent currently '' a examples clinics today giving i study the call referring responsibility start 30th . urgent state three task we uddhav highest , chunk `` completely important dialysis patients capital next requirements centers evening doctors financial chief us thackeray adding this maharashtra four country asymptomatic delicate lifting patience said 80 started restarting destroy 's virus mumbai things months coronavirus 7,628"
www.ndtv.com,Coronavirus: Rajasthan Magician Sells Vegetables To Survive The Lockdown,https://www.ndtv.com/cities/covid-19-lockdown-forces-rajasthan-magician-to-become-vegetable-vendor-2218498,2020-04-26,"Rajasthan magician,Rajasthan lockdown,Coronavirus,India coronavirus lockdown,Coronavirus India,India lockdown",) 15 profession vendor representational vegetable mahor left become ( years raju
www.ndtv.com,"ICSE Board, SAI Collaborate For Online Training Programme For PE Teachers, Community Coaches",https://www.ndtv.com/education/cisce-sai-collaborate-for-online-training-programme-for-pe-teachers-community-coaches-2218494,2020-04-26,"ICSE,SAI,CISCE,Sports Authority of India,online courses for PE teachers","training cisce collaborate programme teachers coaches , sai community pe online"
www.ndtv.com,"After Yoga, World Will Accept Benefits Of Ayurveda: PM Modi",https://www.ndtv.com/india-news/mann-ki-baat-after-yoga-world-will-accept-benefits-of-ayurveda-pm-modi-2218493,2020-04-26,"Mann ki Baat,PM Modi,ayurveda",) said modi . principles accept photo pm '' file world india ( ayurvedic age-old surely
www.ndtv.com,COVID-19 Test Kits Should Be Made Available At Lowest Cost: High Court,https://www.ndtv.com/india-news/coronavirus-covid-19-test-kits-should-be-made-available-at-lowest-cost-high-court-2218491,2020-04-26,"COVID-19,coronavirus,Delhi High Court","urgently court said lowest available . test possible covid-19 , kits price made"
